x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
-0.053,0.178,-0.055,0.038,0.039,-0.083,0.17,-0.071,0.086,-0.213
0.108,0.06,-0.034,-0.028,-0.031,-0.159,0.294,-0.073,0.157,0.014
0.0,-0.087,0.007,0.014,0.136,-0.098,0.093,0.083,0.101,-0.071
0.183,-0.077,0.158,-0.004,-0.051,-0.203,0.069,0.17,-0.018,-0.177
-0.118,-0.08,-0.076,0.078,0.0,-0.003,0.044,-0.012,-0.198,0.109
-0.027,-0.08,0.133,-0.034,0.039,-0.207,-0.016,0.033,0.038,0.056
-0.044,-0.078,0.036,0.143,-0.187,-0.108,-0.187,-0.017,-0.109,-0.126
-0.296,-0.166,0.052,-0.073,-0.13,-0.127,-0.132,0.036,0.015,0.018
-0.071,-0.073,-0.103,-0.126,-0.215,0.161,-0.265,-0.131,0.011,0.028
-0.036,-0.023,-0.018,-0.086,-0.187,-0.036,-0.032,-0.059,-0.087,-0.043
-0.049,-0.268,-0.172,-0.069,-0.142,-0.037,-0.235,-0.027,0.028,0.018
-0.021,0.06,-0.126,-0.178,-0.002,0.126,-0.173,-0.082,-0.1,-0.094
-0.123,-0.178,0.049,-0.085,-0.17,-0.04,-0.006,-0.04,0.135,-0.012
0.029,-0.114,-0.243,-0.269,-0.206,-0.012,-0.168,-0.136,0.057,-0.053
-0.001,0.04,-0.046,-0.161,-0.21,-0.12,0.133,0.009,-0.166,0.081
-0.104,-0.131,-0.142,-0.062,-0.022,-0.102,-0.066,-0.045,0.043,0.099
-0.096,-0.134,-0.092,-0.198,-0.128,-0.04,-0.107,-0.109,-0.184,-0.143
-0.051,-0.011,-0.155,-0.176,-0.021,0.073,-0.098,-0.156,0.064,-0.01
0.002,-0.125,-0.194,-0.073,-0.213,-0.076,0.035,-0.188,0.236,0.059
-0.092,-0.167,-0.017,-0.011,0.036,-0.101,-0.124,-0.184,-0.078,0.068
0.108,-0.176,-0.096,-0.048,-0.13,-0.099,-0.208,-0.101,0.166,-0.031
-0.017,-0.049,-0.123,-0.092,-0.098,-0.061,-0.207,-0.145,-0.149,-0.098
0.003,0.006,-0.23,-0.037,-0.054,-0.013,-0.285,-0.036,0.002,-0.121
0.069,0.095,-0.108,0.025,-0.188,-0.021,-0.156,-0.087,-0.082,-0.018
-0.032,0.006,-0.151,0.01,-0.123,-0.036,-0.018,-0.034,-0.131,-0.178
-0.055,-0.035,-0.155,-0.074,-0.055,-0.174,-0.129,0.042,-0.003,-0.148
0.049,-0.075,-0.19,0.051,-0.323,0.214,0.016,0.099,0.054,-0.109
0.026,-0.09,-0.237,-0.023,-0.006,0.094,-0.093,0.028,-0.098,-0.103
0.116,-0.065,-0.138,-0.096,-0.218,-0.028,0.262,-0.009,0.011,0.052
-0.015,-0.061,-0.127,-0.063,0.11,-0.117,0.155,0.082,-0.083,-0.185
0.063,-0.148,-0.244,0.036,0.062,-0.1,0.092,-0.111,0.161,0.053
0.07,-0.085,0.118,-0.003,0.13,-0.098,0.004,0.057,0.114,-0.083
0.141,-0.05,0.003,-0.096,-0.121,-0.109,0.051,-0.22,-0.023,-0.04
0.04,-0.024,-0.165,-0.12,0.09,-0.168,-0.079,-0.15,0.113,0.056
-0.282,0.01,0.118,-0.036,0.066,0.057,-0.042,-0.171,0.008,0.121
-0.122,-0.258,-0.054,0.057,0.027,0.01,0.042,-0.01,-0.045,0.077
0.112,0.046,-0.164,-0.053,0.192,-0.083,-0.031,-0.263,0.075,0.087
-0.029,-0.042,-0.071,-0.04,-0.028,-0.029,0.001,-0.051,0.198,0.114
-0.009,0.024,-0.036,-0.047,0.059,0.013,-0.049,-0.035,-0.108,0.14
0.05,-0.004,-0.026,-0.022,0.14,-0.173,-0.139,-0.062,-0.039,0.013
-0.123,0.027,-0.151,0.079,-0.013,0.0,0.017,-0.091,0.035,-0.029
-0.056,0.089,0.002,0.23,0.062,-0.018,0.198,0.139,-0.027,0.07
-0.039,0.07,-0.074,0.004,0.046,-0.035,0.06,0.179,-0.037,-0.05
-0.106,-0.179,-0.067,0.083,0.007,0.069,0.182,0.002,0.095,-0.06
0.086,0.062,0.017,0.081,0.059,-0.151,0.213,0.157,0.221,0.037
0.003,0.044,0.0,0.199,0.004,-0.013,0.002,0.004,-0.011,0.236
-0.035,-0.057,0.115,-0.024,0.098,0.09,-0.013,0.037,0.058,-0.025
0.008,0.043,0.157,0.081,-0.011,0.065,0.129,0.11,-0.012,0.067
-0.035,0.057,0.102,0.234,0.11,-0.201,-0.071,-0.025,-0.112,0.309
0.013,-0.148,0.113,0.06,0.173,0.114,0.218,0.114,0.118,0.13
-0.07,0.08,0.107,-0.001,0.09,0.134,0.037,0.139,0.155,0.127
-0.045,0.04,0.008,0.121,0.077,-0.339,0.05,0.009,0.034,0.213
-0.116,0.069,0.122,0.012,0.253,0.078,0.177,-0.135,0.044,0.148
0.116,0.095,0.242,0.191,0.091,-0.002,-0.179,0.079,0.257,0.153
0.048,0.24,0.107,-0.086,0.12,0.031,-0.029,0.076,0.244,-0.174
-0.019,0.123,0.154,0.129,-0.02,0.116,-0.06,0.105,0.005,0.096
0.201,0.024,0.088,-0.073,-0.12,0.031,0.035,0.005,0.111,0.171
-0.019,-0.069,0.051,0.153,-0.047,0.138,0.101,-0.0,0.131,-0.155
-0.033,-0.038,0.221,-0.011,0.14,0.264,0.07,-0.088,0.117,0.014
0.275,-0.21,0.297,0.003,-0.016,0.016,-0.02,0.095,-0.026,-0.124
0.016,-0.133,-0.083,0.122,0.031,0.037,0.024,0.138,-0.093,-0.128
-0.067,-0.047,0.13,0.015,0.118,-0.019,0.054,0.235,0.088,0.006
0.134,-0.169,0.084,-0.028,-0.021,0.137,-0.076,0.088,0.068,-0.081
-0.103,-0.015,0.105,0.041,0.086,-0.175,-0.118,0.084,-0.151,0.034
-0.04,-0.178,0.06,0.27,0.091,0.044,0.083,0.054,0.136,0.08
0.112,-0.012,-0.024,-0.117,-0.028,-0.114,0.012,0.109,-0.185,0.07
0.03,0.127,0.036,0.117,-0.177,-0.007,0.054,0.034,0.016,-0.098
-0.06,0.001,-0.149,-0.073,-0.007,0.066,0.075,0.083,0.153,0.14
0.088,-0.099,0.003,0.155,0.064,-0.113,0.001,0.117,0.051,-0.021
0.162,-0.112,-0.084,0.072,0.053,-0.155,-0.003,-0.232,-0.028,-0.058
-0.125,0.014,-0.158,-0.13,-0.142,-0.117,-0.11,-0.101,0.224,0.02
-0.023,0.085,0.031,0.119,0.011,-0.116,-0.081,-0.018,0.176,0.026
-0.084,-0.159,-0.237,-0.082,0.0,0.011,0.19,-0.063,0.057,0.06
0.018,-0.018,-0.175,-0.042,-0.063,-0.054,-0.003,-0.06,0.014,-0.061
-0.111,-0.02,0.054,-0.309,0.039,-0.14,-0.014,-0.064,-0.022,-0.054
-0.012,-0.128,-0.158,-0.145,0.04,-0.034,-0.06,-0.236,-0.129,-0.065
-0.112,0.098,-0.021,0.033,-0.116,-0.246,0.053,-0.166,-0.388,-0.272
-0.032,-0.036,-0.11,0.045,0.011,-0.034,-0.055,-0.149,-0.111,-0.032
-0.287,-0.004,-0.046,-0.246,-0.011,-0.08,-0.184,0.068,-0.182,-0.27
-0.152,-0.143,-0.102,0.067,-0.187,-0.145,0.011,-0.092,-0.024,-0.078
-0.078,-0.097,-0.081,0.062,-0.18,-0.161,-0.307,0.005,-0.283,0.007
-0.159,-0.149,-0.128,-0.061,0.081,-0.072,-0.103,-0.065,-0.153,-0.012
-0.17,-0.078,-0.19,-0.03,-0.088,-0.072,-0.26,0.081,-0.016,-0.101
0.178,-0.233,0.055,-0.01,0.037,0.063,-0.132,0.036,-0.104,0.036
0.01,-0.13,-0.178,-0.085,-0.016,-0.097,-0.124,-0.068,-0.078,0.158
-0.147,-0.295,-0.112,-0.122,0.006,-0.232,-0.267,-0.171,0.056,-0.095
0.087,-0.081,-0.162,0.001,-0.101,-0.222,-0.071,-0.065,-0.047,0.027
-0.049,-0.217,-0.067,0.056,-0.139,-0.137,-0.166,-0.092,0.02,-0.163
-0.112,-0.056,0.019,-0.023,-0.204,-0.264,-0.066,-0.135,-0.025,0.091
-0.003,-0.032,-0.081,-0.118,-0.177,-0.051,-0.148,-0.048,-0.051,-0.175
0.059,-0.191,-0.102,-0.22,-0.018,-0.224,-0.146,0.224,-0.06,-0.099
0.069,-0.112,-0.055,-0.175,-0.239,0.005,-0.231,-0.094,-0.006,-0.079
-0.014,-0.084,-0.061,0.136,-0.04,-0.108,-0.108,-0.168,-0.055,0.031
0.175,0.029,-0.112,-0.273,-0.174,-0.141,-0.161,-0.05,-0.201,-0.115
-0.034,-0.028,0.076,-0.152,-0.238,-0.022,-0.074,-0.008,0.01,-0.04
0.064,-0.1,-0.172,0.084,-0.122,0.099,-0.139,-0.378,-0.211,-0.064
-0.046,-0.207,-0.064,-0.038,-0.037,0.022,-0.016,0.019,-0.172,-0.048
0.061,-0.104,-0.021,0.083,-0.172,-0.107,-0.061,-0.132,-0.176,-0.11
0.035,-0.136,-0.03,0.06,-0.192,-0.03,-0.047,-0.075,0.067,-0.13
0.071,0.014,-0.08,0.021,-0.022,-0.316,-0.037,-0.012,-0.024,-0.09
-0.078,-0.129,-0.072,0.014,-0.223,-0.064,-0.069,-0.167,0.016,-0.094
-0.111,-0.124,-0.028,-0.123,-0.038,-0.0,-0.295,-0.086,0.104,-0.032
0.066,-0.026,-0.203,-0.037,-0.115,-0.271,-0.033,0.211,-0.132,-0.09
0.022,-0.134,-0.212,0.028,-0.115,-0.197,-0.053,0.078,0.016,0.04
-0.055,-0.322,-0.151,0.078,-0.274,-0.196,-0.183,-0.053,0.03,-0.125
-0.014,-0.105,-0.086,0.036,-0.267,-0.269,-0.234,0.081,-0.103,-0.05
0.046,-0.169,-0.149,0.176,-0.228,-0.096,-0.098,0.05,0.079,-0.188
0.1,-0.293,-0.144,0.036,-0.177,-0.011,-0.251,0.034,-0.034,-0.439
0.032,-0.024,-0.22,-0.165,-0.028,-0.143,-0.235,0.032,-0.23,-0.218
0.072,-0.104,-0.254,-0.192,-0.168,-0.064,-0.22,0.038,-0.057,-0.216
-0.021,-0.193,-0.178,-0.07,-0.032,-0.168,-0.173,-0.021,-0.248,-0.221
0.061,-0.054,-0.096,-0.469,-0.185,-0.15,-0.036,-0.16,-0.184,-0.225
-0.021,-0.054,-0.045,-0.363,-0.447,-0.081,-0.213,0.056,-0.221,-0.186
-0.055,-0.265,-0.21,-0.032,-0.135,-0.183,0.005,-0.402,-0.298,-0.212
-0.203,-0.194,0.02,-0.205,-0.153,-0.159,-0.041,-0.267,-0.118,-0.49
-0.196,-0.043,0.023,0.032,-0.237,-0.121,-0.285,-0.217,-0.253,-0.284
-0.177,-0.246,0.022,-0.082,-0.176,-0.044,0.076,-0.17,-0.312,-0.079
-0.337,-0.094,-0.148,-0.02,-0.052,-0.326,-0.233,-0.219,-0.224,-0.005
-0.265,-0.108,-0.227,-0.144,-0.198,-0.088,-0.044,0.113,-0.191,-0.168
-0.233,-0.11,0.059,-0.121,-0.128,0.042,-0.187,-0.133,-0.249,-0.272
-0.185,-0.072,-0.278,-0.05,0.024,-0.156,-0.109,-0.123,-0.154,-0.137
-0.23,-0.121,-0.207,0.117,-0.17,-0.074,-0.171,-0.137,-0.301,-0.121
-0.32,-0.04,0.055,-0.143,0.004,-0.019,0.011,0.05,-0.112,-0.312
-0.384,-0.193,-0.049,-0.025,-0.124,0.068,-0.113,-0.085,0.053,-0.099
-0.246,-0.245,0.011,-0.108,-0.22,0.019,-0.126,-0.036,-0.293,-0.102
-0.128,0.084,0.195,-0.244,-0.007,0.11,-0.105,-0.11,-0.15,-0.131
-0.303,-0.047,-0.067,-0.073,-0.195,0.125,0.064,-0.139,-0.055,-0.106
-0.251,-0.263,0.129,-0.059,-0.047,0.135,-0.156,-0.13,-0.256,-0.253
-0.173,-0.142,0.014,-0.12,0.042,0.061,-0.207,-0.0,-0.181,0.037
-0.259,-0.062,0.202,-0.097,-0.183,0.018,-0.122,-0.041,-0.204,-0.001
-0.268,-0.008,-0.26,0.037,0.142,0.018,-0.147,0.019,-0.172,-0.072
-0.24,0.025,-0.01,0.057,-0.127,0.26,-0.077,0.032,0.128,0.038
-0.198,-0.239,-0.199,-0.058,-0.199,-0.048,-0.125,-0.073,0.119,-0.054
-0.075,0.008,-0.057,-0.179,0.147,0.018,-0.015,-0.081,-0.144,0.101
-0.049,-0.013,-0.244,0.002,-0.002,-0.023,-0.071,0.049,0.095,0.158
-0.043,-0.044,-0.139,-0.195,-0.0,-0.174,-0.102,0.046,-0.019,0.051
-0.031,-0.03,-0.119,-0.174,-0.001,-0.094,0.015,-0.089,0.025,0.062
0.041,-0.142,-0.267,-0.137,-0.014,-0.048,0.033,-0.032,0.056,0.237
-0.105,-0.03,-0.271,-0.256,-0.052,-0.324,-0.063,-0.16,0.04,-0.056
0.035,0.004,-0.154,-0.097,-0.026,-0.02,-0.216,-0.038,0.251,0.17
0.041,-0.097,-0.173,-0.19,-0.014,-0.126,0.055,-0.119,0.089,0.174
-0.054,-0.0,-0.156,-0.29,0.017,-0.144,-0.165,-0.079,0.034,0.097
-0.012,-0.014,-0.295,-0.167,-0.129,-0.133,0.009,-0.051,0.274,0.022
-0.069,-0.061,-0.121,-0.09,-0.003,-0.191,-0.064,-0.217,0.183,-0.137
0.124,-0.186,0.055,0.063,-0.053,-0.147,0.08,-0.216,0.164,0.131
0.119,-0.138,-0.115,-0.057,0.046,0.121,-0.045,-0.034,-0.003,-0.104
0.285,0.007,-0.136,-0.168,0.007,-0.079,0.132,-0.093,0.075,-0.055
0.262,-0.186,0.112,-0.158,-0.057,0.022,-0.068,0.038,0.069,0.132
-0.099,-0.016,-0.0,-0.154,0.179,0.006,-0.086,-0.028,-0.174,0.042
0.181,0.17,-0.134,-0.267,-0.007,0.063,-0.094,-0.064,-0.02,0.109
-0.065,-0.086,-0.115,-0.068,0.099,-0.031,-0.127,-0.083,0.152,0.043
-0.197,-0.023,0.038,-0.068,0.052,0.171,0.014,-0.111,0.018,0.068
-0.089,0.016,-0.265,-0.132,0.157,-0.066,-0.102,-0.192,0.073,-0.054
0.096,0.014,-0.039,-0.132,0.047,0.027,-0.12,-0.116,0.111,0.15
-0.062,0.013,-0.113,-0.159,-0.052,0.073,-0.101,-0.205,-0.134,0.253
-0.024,0.072,-0.055,-0.276,-0.084,-0.011,-0.084,-0.083,0.129,0.104
0.077,-0.037,-0.009,-0.183,-0.02,0.103,-0.161,0.007,0.069,0.137
0.072,0.139,-0.039,-0.054,-0.265,-0.034,-0.053,0.086,0.14,0.103
-0.04,0.167,-0.058,-0.169,-0.022,0.059,0.02,0.001,0.024,0.103
0.062,0.036,0.107,-0.15,-0.312,-0.003,-0.042,-0.008,0.212,-0.119
0.058,-0.031,-0.173,-0.088,-0.222,0.24,0.024,-0.002,0.097,-0.154
0.02,0.079,-0.029,-0.184,0.062,0.043,-0.09,0.176,0.069,-0.198
0.142,-0.127,-0.09,-0.059,-0.126,-0.125,-0.071,-0.103,-0.106,-0.322
-0.102,-0.267,-0.157,-0.012,-0.084,-0.002,-0.068,0.025,-0.213,-0.085
-0.158,0.061,0.008,-0.112,-0.082,-0.12,-0.041,-0.023,-0.285,-0.025
-0.173,-0.088,-0.051,0.077,0.012,0.033,-0.127,-0.081,-0.343,-0.131
-0.102,-0.024,-0.031,-0.183,0.072,-0.193,-0.154,-0.128,-0.068,-0.027
-0.193,-0.031,0.042,-0.154,-0.174,-0.158,0.029,-0.057,-0.231,0.101
-0.293,-0.128,-0.128,-0.035,-0.026,-0.23,-0.113,0.045,-0.179,-0.213
-0.061,0.031,0.032,0.02,-0.095,-0.122,-0.024,-0.083,0.012,-0.066
-0.2,0.034,-0.101,0.001,-0.026,-0.294,0.102,0.092,-0.01,0.125
-0.115,-0.056,-0.021,-0.012,-0.002,-0.223,-0.127,0.077,-0.204,0.001
-0.237,0.017,0.149,-0.044,-0.065,-0.137,-0.116,0.045,0.04,0.108
-0.091,-0.037,-0.043,0.067,-0.171,0.015,0.139,0.082,-0.076,-0.084
-0.053,0.117,-0.103,0.052,-0.155,-0.057,0.022,-0.04,0.014,0.005
0.018,0.013,0.118,-0.015,-0.147,0.005,0.033,-0.165,-0.009,-0.099
0.069,-0.05,-0.173,-0.055,-0.157,-0.081,-0.196,0.082,0.063,-0.189
-0.066,0.032,0.058,0.045,0.046,0.061,0.034,-0.111,-0.171,-0.107
-0.015,-0.076,0.031,0.041,-0.167,-0.023,0.06,-0.102,-0.082,-0.046
-0.101,-0.152,-0.29,-0.238,-0.141,0.113,-0.114,-0.151,-0.068,0.019
-0.124,0.138,-0.023,-0.188,-0.144,-0.096,-0.015,-0.183,-0.073,-0.078
-0.169,0.061,-0.013,-0.127,-0.062,0.057,-0.076,0.034,0.128,-0.099
-0.088,-0.054,-0.127,-0.079,-0.078,-0.271,-0.085,-0.157,0.075,-0.059
-0.205,0.062,-0.114,-0.093,-0.154,-0.052,-0.081,-0.014,-0.12,-0.076
0.096,0.036,0.091,-0.044,-0.052,-0.18,0.001,-0.101,-0.135,0.061
-0.227,0.056,0.152,-0.143,0.148,-0.178,-0.031,-0.068,-0.028,-0.129
-0.058,-0.058,0.015,-0.077,0.034,-0.03,-0.021,0.024,-0.206,-0.071
0.013,-0.118,0.121,0.123,0.102,-0.039,0.098,0.193,-0.034,0.138
-0.067,0.292,-0.12,-0.081,-0.006,-0.038,0.101,-0.196,-0.16,0.072
0.043,-0.005,0.224,-0.072,0.081,-0.02,0.094,-0.025,0.179,0.01
-0.228,-0.011,0.061,0.002,0.213,0.137,0.162,-0.013,-0.034,-0.032
-0.073,0.048,0.064,0.096,0.131,0.258,0.072,0.064,-0.121,0.06
-0.192,0.05,0.24,-0.161,0.031,0.104,0.294,-0.053,-0.034,0.019
-0.249,-0.05,0.28,0.059,0.107,0.009,0.117,0.086,0.055,0.1
-0.148,-0.064,0.197,0.062,0.154,0.034,-0.06,0.063,0.005,0.136
-0.282,0.005,0.274,-0.066,0.191,0.144,-0.032,-0.107,-0.069,0.212
-0.09,0.039,0.015,0.121,-0.078,0.026,0.023,0.011,0.194,0.068
-0.02,0.089,-0.064,0.226,-0.028,0.097,-0.109,-0.044,0.182,0.059
-0.258,0.137,-0.135,0.118,-0.025,0.003,0.016,0.011,-0.035,0.172
-0.07,-0.04,-0.101,0.167,0.02,0.102,-0.095,-0.071,0.075,-0.064
0.106,-0.15,-0.191,-0.069,0.065,-0.078,0.02,0.031,-0.007,0.1
-0.135,0.07,-0.08,0.025,-0.105,0.026,0.012,-0.202,0.198,0.096
0.01,0.084,-0.049,-0.04,0.02,-0.069,0.046,-0.06,0.037,-0.039
0.16,0.008,0.008,-0.131,0.102,-0.167,-0.012,-0.023,0.166,0.094
-0.024,0.082,-0.164,0.086,-0.027,-0.022,0.025,0.052,0.02,0.077
0.158,0.118,-0.036,-0.072,-0.035,-0.242,-0.08,0.221,0.103,-0.004
0.24,0.135,-0.203,-0.069,-0.072,-0.087,0.031,-0.055,-0.035,0.061
-0.031,0.016,-0.111,-0.154,0.04,-0.032,0.042,0.045,-0.012,-0.026
0.138,-0.027,0.007,-0.197,0.101,0.016,0.191,-0.161,0.017,0.082
0.177,0.067,0.174,-0.126,0.235,-0.084,-0.012,-0.159,0.142,0.056
-0.064,0.016,-0.092,-0.195,0.182,-0.08,0.193,-0.136,-0.116,-0.081
0.066,0.148,0.114,-0.02,0.157,-0.025,0.167,-0.202,-0.015,0.218
0.141,0.155,0.081,0.052,0.037,0.095,0.192,-0.007,-0.07,0.016
0.037,0.206,0.205,-0.067,0.068,-0.049,0.242,0.035,0.184,0.161
-0.18,0.066,0.229,0.109,0.01,0.092,0.181,-0.142,0.13,0.149
0.005,0.058,0.154,0.121,0.014,0.093,0.324,0.12,-0.052,0.102
0.021,0.124,0.24,0.127,0.1,0.215,0.338,-0.036,0.045,0.023
0.11,0.084,0.169,0.241,-0.03,0.153,0.196,-0.138,0.042,0.239
-0.133,0.057,0.198,0.04,0.105,0.214,0.148,0.173,0.015,0.253
-0.069,0.235,0.14,-0.005,0.102,0.232,-0.096,-0.081,0.029,-0.002
-0.062,-0.027,0.054,0.05,0.243,0.323,0.135,-0.132,0.07,0.055
-0.007,0.244,0.149,0.068,0.23,0.13,-0.045,0.133,-0.05,0.176
-0.11,0.095,-0.023,0.087,0.033,0.142,0.077,-0.057,0.005,0.186
0.087,-0.037,0.258,0.034,0.319,-0.073,-0.021,0.026,-0.121,0.182
0.092,0.153,0.097,-0.004,0.109,-0.061,-0.055,-0.11,0.181,0.24
0.122,0.002,-0.005,0.224,0.241,0.007,0.228,0.05,0.216,0.205
0.241,0.029,0.139,0.059,0.169,0.086,0.045,0.053,0.183,0.119
0.196,0.292,0.181,0.068,0.079,0.066,-0.011,-0.029,0.152,0.066
0.173,0.145,-0.013,0.174,0.046,0.138,0.043,0.033,0.072,0.154
0.16,0.123,0.026,-0.005,0.009,-0.067,0.189,-0.14,-0.069,-0.019
0.246,0.137,0.052,0.182,-0.017,0.006,0.133,0.029,-0.178,0.24
0.176,0.011,0.145,0.04,0.06,0.058,0.036,0.101,-0.02,0.027
-0.018,0.099,0.074,-0.002,-0.079,-0.101,-0.153,-0.052,0.079,0.019
0.029,-0.088,-0.121,-0.029,-0.058,0.189,0.139,0.165,-0.178,0.045
-0.07,-0.181,-0.07,0.121,-0.004,-0.015,-0.054,-0.17,-0.01,-0.028
0.173,-0.153,-0.106,0.031,-0.152,-0.033,0.112,0.058,-0.046,-0.036
-0.004,0.014,-0.041,0.014,0.092,0.038,-0.007,0.131,0.087,-0.12
-0.001,-0.166,0.041,-0.063,-0.018,-0.132,-0.109,0.184,-0.004,-0.2
0.013,-0.198,0.081,-0.125,-0.018,0.149,0.074,0.144,-0.082,0.122
0.182,-0.0,0.034,-0.067,0.008,0.025,0.039,-0.115,0.139,0.138
-0.102,0.066,-0.04,0.054,-0.019,-0.023,0.039,0.134,0.0,-0.093
0.049,0.098,-0.014,-0.131,0.092,-0.046,0.174,-0.031,-0.029,-0.07
0.134,-0.032,-0.017,-0.15,-0.055,-0.012,0.119,-0.017,-0.006,0.14
0.0,0.139,0.133,-0.024,0.075,0.023,0.065,-0.117,0.022,0.004
0.134,0.149,0.012,-0.113,-0.039,0.23,0.251,-0.005,-0.04,-0.017
0.046,-0.049,0.017,0.139,0.031,0.119,0.216,-0.223,-0.024,0.051
0.101,0.15,0.106,-0.105,-0.06,0.08,0.049,0.011,0.042,-0.134
0.089,0.219,0.294,0.047,0.032,0.122,0.268,0.127,0.001,0.072
0.023,0.251,0.091,0.044,0.153,0.165,-0.03,-0.048,-0.096,-0.222
-0.053,0.188,0.354,0.086,-0.005,-0.031,0.163,0.013,0.01,-0.039
-0.049,0.058,0.295,0.03,0.274,0.197,0.298,-0.025,0.143,0.183
-0.022,0.229,0.207,0.202,0.085,0.047,0.139,-0.053,0.076,0.06
